city_name,count,mean,min,max,std
Pagadian,4028,26.64413356504469,22.31,30.65,1.02361331835478
Palayan City,4028,26.07461022840119,20.9,31.79,1.6988119168977922
Panabo,4028,26.547063058589874,23.1,34.06,1.0955709144110195
Paranaque City,4028,27.71930983118173,22.3,32.4,1.5068006157706426
Pasig,4028,26.629563058589873,21.4,32.39,1.5305511253147286
Puerto Princesa City,4028,26.985218470705068,23.62,33.04,1.0573388107656758
Quezon City,4028,26.76291956305859,21.5,32.45,1.518823295552709
Roxas,4028,26.505618172790467,20.99,30.0,1.3706377592510215
Sagay,4028,27.102904667328698,23.9,29.9,0.911646277911482
Samal,4028,26.57657894736842,22.1,33.05,1.4512706520705065
San Carlos,4028,24.289029294935453,20.2,31.73,1.2778503787222357
San Fernando,4028,26.144692154915592,21.9,29.8,0.9813974870721409
San Jose,4028,24.494975173783516,20.64,29.49,1.257710887609252
San Jose del Monte,4028,26.67850049652433,21.5,32.57,1.530245986594379
San Juan,4028,25.683150446871895,21.0,32.16,1.4471981544845467
San Pablo,4028,27.00114945382324,22.35,32.87,0.9890013446924778
San Pedro,4028,26.37062810327706,21.05,29.14,1.2251609677084494
Santa Rosa,4028,26.88895729890765,21.46,32.11,1.4905209989922645
Santiago,4028,26.54300148957299,21.56,30.43,0.960758951609022
Santo Tomas,4028,26.562395729890763,20.31,31.0,1.6492882619022073
Silay City,4028,26.880312810327705,22.1,31.14,1.1161830118676217
Sipalay,4028,27.04168073485601,23.5,31.1,1.0163850256393672
Surigao City,4028,26.75511171797418,23.25,29.93,1.1200730812793984
Tabaco,4028,26.608001489572988,22.2,30.3,1.1689242964897344
Tabuk,4028,24.475235849056602,16.6,29.9,2.2431283404902334
Tacloban City,4028,27.14675769612711,22.79,31.47,1.1644176875835999
Tacurong,4028,26.135086891757698,21.9,32.04,1.3089736385764856
Tagaytay City,4028,23.23593843098312,18.4,29.28,1.476300195717174
Taguig,4028,27.828036246276067,22.4,32.5,1.5068210251600636
Talisay,4028,26.727246772591858,21.6,30.9,1.3577450819834957
Tanauan,4028,26.32647964250248,22.16,31.03,1.2277492354236486
Tandag,4028,26.388118172790467,22.18,29.53,0.9969650662734815
Tangub,4028,26.594729394240318,23.1,31.15,0.9639114871775997
Tanjay,4028,26.679217974180734,23.1,32.01,1.0527788664286792
Tarlac City,4028,26.559394240317776,21.6,32.39,1.6888856153657956
Tayabas,4028,25.343897715988085,20.7,29.87,1.4229148137314962
Toledo City,4028,26.925171300893744,23.5,30.72,0.998452438210686
Tuguegarao,4028,25.33448361469712,18.0,32.1,2.3434539711723303
Urdaneta,4028,26.41335153922542,20.7,33.34,1.7110885936652656
Valencia,4028,25.57351787487587,22.5,32.35,1.108407678497146
Valenzuela,4028,26.946186693147965,21.7,32.92,1.4897077265042493
Victorias,4028,27.612783018867923,22.7,31.3,1.160832881162575
Vigan,4028,27.076946375372394,22.1,32.18,1.3034073929467886
Zamboanga City,4028,27.17401688182721,23.36,32.99,0.8890093770169938
